product_id,name,price,quantity,description,production_date,expiration_date,rating,status
1,Молочный шоколад,660,863,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1994-04-03,2008-01-20,5.0,Shipping
3,Масло сливочное,2697,84,Является важным элементом спортивного питания для восстановления после тренировок.,2006-05-01,2029-01-02,0.62,On Backorder
4,Чоризо,3857,564,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2017-02-02,2021-12-12,4.03,On Backorder
9,Тэфф,2140,885,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2002-01-03,2027-01-08,3.97,Sold
10,Хамон,2333,194,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2022-05-09,2023-03-08,2.37,Shipping
17,Масло сливочное,432,461,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2022-04-03,2030-02-03,0.14,New
18,Пакеты для охоты,1108,804,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2009-02-02,2018-02-12,1.97,Awaiting Review
19,Шпинат,365,819,Представляет собой ценный источник питательных веществ для растущего организма.,2011-02-05,2024-02-28,0.16,Backorder
20,Кардамон молотый,2404,354,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2009-07-07,2023-05-03,3.7,On Backorder
23,Perrier,1765,899,Подходит для использования в качестве замены традиционных молочных продуктов.,2019-01-06,2021-02-09,4.44,New
26,Шпинат,1109,304,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",1994-04-04,2006-05-13,4.39,New
27,Сельдерей,2636,802,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",1998-01-03,1998-01-17,0.13,Awaiting Review
28,Пакеты для Всемирного дня воды,1537,623,Отличается низкой калорийностью и высоким содержанием белка.,2022-04-02,2026-01-02,4.06,New
30,Брынза,1652,496,Отличается универсальностью применения в кулинарии и пищевой промышленности.,2015-06-02,2026-05-17,3.32,Returned
32,Пакеты для пляжа,2705,925,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",2018-05-09,2024-06-02,2.77,Cancelled
33,Масло сливочное,2846,362,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2001-01-11,2022-03-03,0.28,Delivered
35,Айран,3848,664,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1994-02-12,2012-02-15,4.08,Delivered
38,Груша,969,16,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2002-04-06,2018-01-12,0.71,Backorder
39,Озеро Медвежье,2352,210,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2013-01-15,2020-03-03,3.38,On Backorder
42,Бамия,2330,424,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",1991-08-01,2007-02-10,1.65,Awaiting Payment
46,Бифштекс,2638,107,Помогает укреплять стенки сосудов и улучшать кровообращение.,1994-01-11,2003-05-02,1.76,Delivered
47,Окра,3412,258,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2021-03-06,2024-05-02,1.47,New
48,Слива,4068,580,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2019-02-17,2023-03-05,3.62,Temporarily Unavailable
52,Репа,815,817,Помогает поддерживать нормальный уровень гемоглобина в крови.,1995-03-02,2028-02-08,1.52,In Stock
55,Лавровый лист сушеный,717,214,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",1996-05-01,2016-02-03,1.87,Awaiting Payment
56,Шумовки,744,970,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2016-02-13,2024-02-26,1.95,Backorder
57,Фета,1615,815,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",1996-04-07,2015-04-20,1.17,Refunded
61,Абрикос,2287,83,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1993-05-06,1997-02-04,2.09,Returned
63,Салфетки сухие,2309,927,"Помогает улучшить состояние волос, ногтей и кожи.",2007-01-04,2022-04-12,0.32,New
66,Косуля,3706,829,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2002-04-03,2016-02-03,0.47,Sold
69,Репа,2012,915,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",1990-01-17,2011-01-03,2.22,Delivered
70,Патиссон,3974,457,Помогает поддерживать нормальный уровень холестерина в крови.,2019-04-05,2022-02-06,4.91,Returned
71,Пакеты для микроволновки,931,703,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2016-04-13,2024-05-11,0.16,Backorder
72,Доктор Пеппер,3153,434,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2020-01-07,2023-10-20,1.53,Pending
76,Груша,3820,837,Отличается гипоаллергенностью и безопасностью для большинства людей.,2020-03-13,2026-01-25,4.45,Sold
77,Брынза,943,40,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2000-02-06,2025-02-06,3.18,In Stock
83,Амарант крупа,3480,72,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2014-04-01,2015-09-07,2.32,On Backorder
84,Баранина,2610,6,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2007-02-05,2015-05-18,1.37,Temporarily Unavailable
88,Грейпфрут,345,12,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2002-05-09,2021-06-04,1.11,Refunded
89,Шелковица,1361,217,Рекомендуется для ежедневного потребления в умеренных количествах.,2001-01-05,2011-02-08,3.77,Cancelled
91,Гауда,4014,976,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2012-06-12,2021-04-06,0.38,Backorder
92,Хурма,3807,806,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2001-06-07,2027-04-05,1.65,Awaiting Review
93,Апельсин,157,657,Отличается низкой калорийностью и высоким содержанием белка.,1997-02-05,2029-04-01,2.03,Out of Stock
97,Абрикос,842,326,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2021-04-09,2029-02-12,1.02,On Backorder
101,Нектарин,1285,856,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2017-05-01,2023-05-02,2.78,Awaiting Payment
103,Кострец,2021,99,"Подходит для людей всех возрастов, включая детей и пожилых.",1993-05-03,2001-05-01,3.33,Available for Pickup
104,Донат магний,3617,316,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,2012-01-02,2028-03-04,2.68,Backorder
106,Говядина,1055,929,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2009-03-03,2030-05-01,0.04,Awaiting Payment
108,Брюква,403,835,Отличается способностью повышать общий тонус и работоспособность.,2011-08-01,2017-05-22,4.69,New
112,Батат,3331,555,Является важным компонентом сбалансированного рациона питания.,2005-02-11,2019-01-20,4.32,New
113,Сметана,3152,217,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2011-02-01,2027-02-03,1.71,Cancelled
114,Портулак,4054,956,Помогает поддерживать нормальный уровень сахара в крови.,2010-01-08,2011-02-03,4.89,Cancelled
116,Каша из сорго,3071,831,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",1999-06-03,2006-11-14,1.52,Delivered
119,Камут,2272,801,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2012-04-13,2021-04-04,1.04,Temporarily Unavailable
124,Моющее средство для пола,3217,191,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2003-04-11,2030-02-16,0.95,Out of Stock
125,Пакеты для пляжа,3337,823,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2015-06-09,2026-01-04,5.01,Temporarily Unavailable
127,Крыжовник,305,599,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2011-07-03,2019-09-03,2.05,Shipping
132,Perrier,1317,334,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,1999-03-03,2020-01-15,4.79,Refunded
135,Клубника,2633,407,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",1997-11-03,2028-02-02,4.47,Awaiting Review
136,Крольчатина,462,144,Помогает поддерживать нормальный уровень глюкозы в крови.,2022-05-06,2029-01-05,4.61,Sold
138,Эндивий,2793,21,Помогает нормализовать артериальное давление и уровень холестерина.,2020-04-04,2020-07-18,3.62,Pending
140,Симферопольская,1526,816,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",1991-04-02,2029-04-03,0.32,Awaiting Review
142,Груша,2153,741,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2022-03-04,2025-04-03,1.41,On Backorder
146,Кольраби,4119,971,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2010-01-05,2027-01-09,4.58,Out of Stock
151,Клюква,1494,97,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2007-02-11,2009-05-05,1.27,Returned
155,Окра,3011,899,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2016-08-14,2023-05-03,1.48,Backorder
156,Пастернак,160,407,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2000-05-24,2002-06-06,1.65,New
157,Верблюжье молоко,3284,124,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2010-05-02,2030-04-18,2.99,Awaiting Review
158,Брынза,777,637,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2013-07-08,2021-05-27,1.35,Refunded
161,Йогурт,2871,555,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1991-06-03,2018-02-23,0.81,Temporarily Unavailable
166,Monster Energy,321,159,"Подходит для использования в диетах, направленных на снижение веса.",2009-05-11,2011-01-01,4.62,In Stock
167,Эмменталь,2891,262,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2014-03-03,2022-12-07,4.16,Delivered
